user_id,ad_id,timestamp,click_through_rate,conversion_rate,view_time,cost_per_click,ROI,hour_of_day,day_of_week,is_weekend,age_group_encoded,engagement_level_encoded,device_type_Mobile,device_type_Tablet,location_Germany,location_India,location_UK,location_USA,gender_Male,content_type_Text,content_type_Video,ad_topic_Electronics,ad_topic_Fashion,ad_topic_Health,ad_topic_Travel,ad_target_audience_Fitness Lovers,ad_target_audience_Tech Enthusiasts,ad_target_audience_Travel Lovers,ad_target_audience_Young Adults
896,A5630,2025-11-18 22:20:05,0.0105881015454591,0.0657,21,0.35,0.2,22,1,0,4,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
827,A6480,2025-11-12 05:00:19,0.0221952442272127,0.0237,28,0.15,0.35,5,2,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
211,A7800,2025-10-22 05:21:08,0.0817244822091468,0.1055,47,1.28,0.67,5,2,0,0,5,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
897,A1514,2025-03-02 14:17:27,0.1239948640524177,0.0332,55,1.2,0.34,14,6,1,1,2,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
293,A8366,2025-07-25 09:47:22,0.044757372572763,0.1258,40,0.67,0.84,9,4,0,1,10,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
503,A7892,2025-06-29 20:19:52,0.0105870822695937,0.131,13,0.98,0.14,20,6,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
268,A1927,2025-05-27 13:42:38,0.0408980199446774,0.0406,11,1.31,0.13,13,1,0,3,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
507,A6049,2025-03-03 01:20:17,0.0486866059366408,0.0997,28,0.52,0.93,1,0,0,2,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
707,A8295,2025-06-30 05:59:50,0.1448088973344233,0.01,51,0.52,0.28,5,0,0,0,10,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
708,A4415,2025-03-01 03:01:41,0.1162093320928203,0.1008,44,0.98,1.2,3,5,1,3,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
327,A7148,2025-12-23 18:58:28,0.1129050470980107,0.1068,45,0.55,2.19,18,1,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
735,A3444,2025-08-20 16:24:01,0.1490457191872641,0.1397,36,0.37,5.63,16,2,0,0,10,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
649,A2970,2025-01-08 03:24:57,0.1068708453263587,0.0804,31,0.37,2.32,3,2,0,3,5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
616,A9023,2025-09-08 11:05:27,0.1399016767906327,0.1204,14,0.83,2.03,11,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0
811,A5257,2025-12-03 09:06:23,0.0962777936568819,0.137,50,1.0,1.32,9,2,0,1,10,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
263,A3408,2025-11-12 11:11:21,0.0445930804496711,0.1452,48,0.21,3.08,11,2,0,2,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
489,A5769,2025-01-08 11:19:30,0.0544025177606792,0.0562,45,0.55,0.56,11,2,0,0,10,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
616,A7990,2025-03-08 15:58:22,0.1449224581971549,0.0131,59,1.27,0.15,15,5,1,3,10,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
979,A9973,2025-11-24 22:05:33,0.0577002075443995,0.1489,31,1.0,0.86,22,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
218,A1463,2025-02-15 00:21:42,0.1206505469910394,0.0714,26,0.53,1.63,0,5,1,4,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
348,A6280,2025-05-24 03:25:48,0.1456952240411272,0.0445,45,0.82,0.79,3,5,1,1,10,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
