iteration,n_campaigns,n_ads,total_budget,risk_factor,ga_population_size,ga_max_generations,ga_mutation_rate,ga_crossover_rate,tabu_max_iterations,tabu_tenure,tabu_neighborhood_size,tabu_use_aspiration,tabu_intensification_threshold,tabu_diversification_threshold
1,1,33,6922318.017545184,1.78,20,98,0.28,0.74,98,12,20,True,71,149
2,3,37,9561088.443836179,0.83,89,97,0.24,0.91,97,15,89,True,21,57
3,8,31,40567858.2038492,1.92,79,162,0.09,0.82,162,15,79,True,86,125
4,9,19,43071528.047594875,1.17,96,196,0.1,0.71,196,12,96,True,55,165
5,10,17,52476190.46064701,0.78,89,196,0.3,0.8,196,19,89,True,32,156
6,1,20,6746066.294111594,0.51,26,111,0.26,0.81,111,30,26,True,28,93
7,9,39,44464388.70998532,1.16,61,131,0.14,0.77,131,15,61,True,32,159
8,4,4,25115093.124417927,0.06,77,127,0.24,0.93,127,28,77,True,93,183
9,10,28,50157972.74280495,0.93,83,49,0.16,0.83,49,17,83,True,75,74
10,5,30,21609801.27782242,0.3,97,93,0.11,0.75,93,13,97,True,45,192
11,9,15,41121893.67887692,1.36,33,126,0.12,0.81,126,22,33,True,30,160
12,4,4,14614197.84395685,1.64,95,173,0.13,0.88,173,6,95,True,29,180
13,9,39,45124428.351721235,1.95,63,34,0.05,0.72,34,20,63,True,77,98
14,8,25,41124833.23574826,0.85,30,39,0.2,0.94,39,28,30,True,77,175
15,3,31,7165776.986349943,0.41,68,133,0.06,0.82,133,27,68,True,31,152
16,3,27,11758259.424349988,1.85,70,46,0.26,0.77,46,25,70,True,88,82
17,10,40,53891696.82604253,0.06,50,162,0.06,0.83,162,20,50,True,39,148
18,4,21,21523263.518671237,1.9,62,120,0.12,0.86,120,21,62,True,98,192
19,3,13,16532433.526954655,0.65,95,117,0.21,0.78,117,7,95,True,93,131
20,4,17,16067176.535346562,0.93,28,109,0.26,0.91,109,26,28,True,35,54
21,9,19,46272651.52604952,1.06,76,56,0.21,0.91,56,11,76,True,67,110
22,9,37,41241056.10206585,0.78,75,157,0.14,0.75,157,8,75,True,47,170
23,1,5,8332327.773406519,1.35,67,122,0.29,0.72,122,9,67,True,94,178
24,4,4,15464865.934980776,0.14,38,95,0.12,0.74,95,24,38,True,45,147
25,2,33,7968688.607320077,0.79,53,111,0.15,0.82,111,11,53,True,100,64
26,2,17,13418125.771141652,1.98,47,133,0.21,0.7,133,24,47,True,60,56
27,9,15,39591781.54195361,0.2,26,25,0.15,0.76,25,12,26,True,28,55
28,7,20,29417851.314834207,1.04,96,67,0.17,0.74,67,10,96,True,43,52
29,4,26,17791616.483327515,1.09,36,27,0.12,0.87,27,21,36,True,91,185
30,8,27,34431895.18791565,0.32,42,22,0.12,0.86,22,25,42,True,77,60
31,2,14,1098511.3165411889,0.66,85,144,0.11,0.87,144,5,85,True,72,152
32,7,15,40979535.4058563,1.9,30,52,0.12,0.73,52,12,30,True,68,97
33,8,21,29598304.84638668,0.34,14,156,0.22,0.93,156,27,14,True,42,93
34,1,33,484398.2773761718,0.78,72,159,0.26,0.88,159,27,72,True,20,122
35,3,16,11004554.040539745,0.83,71,158,0.08,0.86,158,20,71,True,47,139
36,9,15,41895313.0647853,1.37,25,169,0.15,0.9,169,10,25,True,67,141
37,5,5,17603622.867017746,0.03,18,168,0.17,0.76,168,23,18,True,25,129
38,7,7,31749874.71507503,0.96,86,90,0.1,0.9,90,26,86,True,46,138
39,9,11,42662699.396892905,0.23,28,26,0.24,0.91,26,10,28,True,52,76
40,7,11,28223209.957881868,1.39,70,185,0.25,0.92,185,24,70,True,61,125
41,5,18,17660699.686726905,1.45,18,97,0.2,0.77,97,27,18,True,85,181
42,5,32,23200518.806120437,0.87,45,107,0.1,0.82,107,9,45,True,64,64
43,7,13,30876934.36917414,1.04,64,50,0.15,0.93,50,11,64,True,29,59
44,3,37,20375760.03294819,0.27,55,81,0.17,0.75,81,5,55,True,98,117
45,5,7,30364512.592061415,1.19,92,46,0.29,0.85,46,18,92,True,51,108
46,6,6,35820435.68257032,0.8,47,60,0.23,0.9,60,24,47,True,73,185
47,7,11,40014961.93551904,0.29,95,179,0.29,0.84,179,18,95,True,26,55
48,5,5,20098730.380729802,1.85,44,185,0.14,0.84,185,25,44,True,86,157
49,4,9,22496780.46080265,0.75,27,126,0.12,0.83,126,9,27,True,43,152
50,10,26,47554009.8040405,1.25,57,97,0.23,0.93,97,10,57,True,67,107
51,1,12,7771129.261297811,1.27,86,178,0.2,0.9,178,30,86,True,22,57
52,5,19,19844128.01447284,1.02,31,77,0.15,0.73,77,16,31,True,77,135
53,3,31,20575670.581158876,0.55,22,138,0.19,0.95,138,12,22,True,29,137
54,6,26,28999200.053495005,1.46,91,150,0.15,0.94,150,25,91,True,80,60
55,4,20,21698888.829892173,1.36,21,90,0.06,0.89,90,28,21,True,24,84
56,3,3,17939991.846937846,1.29,77,175,0.13,0.71,175,12,77,True,39,121
57,3,38,8346363.085043557,0.91,62,200,0.16,0.88,200,8,62,True,90,152
58,4,18,21562864.064067233,0.52,69,69,0.16,0.73,69,23,69,True,28,162
59,5,5,21210948.978999868,1.79,89,53,0.3,0.82,53,28,89,True,61,160
60,10,18,42856550.01267617,1.67,53,68,0.07,0.84,68,21,53,True,33,78
61,7,13,32806485.418281995,0.97,63,93,0.21,0.94,93,6,63,True,65,84
62,9,30,37568240.814633265,0.17,31,41,0.17,0.92,41,5,31,True,60,57
63,4,31,20557778.665077694,2.0,60,172,0.19,0.87,172,23,60,True,26,67
64,4,12,20271309.225255884,0.13,38,131,0.05,0.84,131,24,38,True,30,92
65,1,1,501594.3246567257,1.87,23,83,0.22,0.87,83,14,23,True,72,119
66,6,8,29835846.424850356,0.0,29,75,0.21,0.89,75,14,29,True,46,196
67,5,34,30020257.91307372,0.21,73,108,0.19,0.72,108,30,73,True,100,153
68,3,39,18149255.0305592,1.73,56,73,0.13,0.71,73,30,56,True,68,51
69,5,7,16837384.061733216,1.92,70,42,0.28,0.92,42,5,70,True,86,147
70,2,2,3444062.2760025207,0.76,82,139,0.11,0.73,139,28,82,True,72,179
71,5,40,20656636.395226795,1.17,74,86,0.27,0.75,86,19,74,True,57,156
72,3,3,12875416.41017765,1.56,40,89,0.3,0.72,89,22,40,True,90,192
73,9,37,45291359.96565948,0.69,93,151,0.24,0.8,151,22,93,True,40,68
74,8,11,44960559.88009517,0.06,21,129,0.3,0.87,129,29,21,True,70,51
75,3,24,13026152.787196275,0.82,79,184,0.26,0.91,184,27,79,True,23,51
76,4,4,12248658.399631653,0.61,27,102,0.07,0.71,102,13,27,True,21,97
77,5,31,24828912.763274238,1.55,18,104,0.18,0.94,104,8,18,True,44,99
78,1,9,8297500.14368397,0.4,28,197,0.25,0.87,197,6,28,True,22,58
79,5,19,22824447.12145009,0.22,45,80,0.26,0.72,80,24,45,True,45,52
80,7,17,27561179.349877927,0.66,77,125,0.27,0.74,125,8,77,True,87,105
81,7,30,32688952.787506692,1.67,99,117,0.22,0.76,117,21,99,True,25,199
82,8,39,42916904.582588196,0.12,49,104,0.27,0.94,104,17,49,True,94,148
83,7,10,26719842.278500587,1.76,34,46,0.25,0.86,46,18,34,True,52,158
84,8,25,34900617.647905655,1.54,58,191,0.26,0.85,191,17,58,True,69,175
85,1,34,3320754.0451336214,0.52,57,129,0.17,0.81,129,12,57,True,79,164
86,6,6,28609010.934911177,0.48,55,105,0.07,0.77,105,13,55,True,46,174
87,3,14,11844267.685712688,0.79,26,115,0.28,0.81,115,29,26,True,89,116
88,3,3,16772209.096373454,0.41,16,59,0.12,0.77,59,17,16,True,80,190
89,2,4,6636694.955605376,0.21,84,125,0.18,0.76,125,25,84,True,66,145
90,5,15,24491759.8824438,0.17,50,174,0.12,0.9,174,5,50,True,94,199
91,2,12,14197201.195075935,0.53,13,164,0.11,0.91,164,12,13,True,96,153
92,6,27,30599632.930286936,0.48,45,112,0.16,0.78,112,26,45,True,78,199
93,6,32,34173584.676274784,1.03,77,74,0.09,0.76,74,7,77,True,91,62
94,2,2,14723459.522874735,0.94,42,159,0.22,0.78,159,10,42,True,21,113
95,3,26,8005070.348884464,0.7,63,67,0.08,0.73,67,17,63,True,95,147
96,1,28,438516.44788715994,0.99,94,97,0.23,0.83,97,15,94,True,51,140
97,6,36,17407204.961462878,1.97,32,150,0.1,0.75,150,20,32,True,54,56
98,6,39,31757250.927610006,1.01,79,75,0.15,0.83,75,19,79,True,25,197
99,5,29,28849709.014695976,0.32,38,37,0.11,0.76,37,22,38,True,84,105
100,5,32,23167437.437334303,0.24,69,87,0.16,0.87,87,23,69,True,31,96
101,9,11,33235712.93090328,0.21,79,128,0.21,0.95,128,7,79,True,50,52
102,10,15,41568971.5508691,1.83,87,86,0.28,0.89,86,10,87,True,86,181
103,1,39,3892919.8267312758,1.81,34,87,0.11,0.76,87,30,34,True,52,61
104,9,39,43866218.60015778,1.93,99,149,0.24,0.8,149,15,99,True,23,142
105,6,6,24389123.660818473,1.08,38,166,0.22,0.8,166,8,38,True,50,149
106,1,5,6391522.898584783,1.8,47,199,0.2,0.78,199,11,47,True,56,177
107,6,11,31136168.475932032,1.89,95,42,0.1,0.91,42,16,95,True,81,116
108,3,24,19679003.640681032,1.07,40,84,0.26,0.7,84,21,40,True,92,67
109,5,5,21335082.502744004,0.99,20,150,0.24,0.86,150,29,20,True,100,127
110,8,16,42525236.67773283,0.56,42,142,0.23,0.86,142,12,42,True,51,196
111,2,2,14134018.42312215,1.59,54,22,0.27,0.79,22,6,54,True,63,119
112,3,19,21276423.000246376,1.15,64,194,0.16,0.87,194,28,64,True,100,76
113,1,20,5112533.005626408,1.44,57,38,0.17,0.83,38,22,57,True,88,80
114,6,25,31850176.868704744,1.54,80,148,0.06,0.71,148,17,80,True,56,187
115,7,31,27385700.12156233,0.55,75,172,0.24,0.79,172,11,75,True,93,127
