,click_through_rate,conversion_rate,view_time,cost_per_click,ROI,day_of_week,day_of_month,month,is_month_start,is_month_end,is_weekend,is_holiday,age_group_encoded,engagement_level_encoded,device_type_Mobile,device_type_Tablet,location_Germany,location_India,location_UK,location_USA,gender_Male,content_type_Text,content_type_Video,ad_topic_Electronics,ad_topic_Entertainment,ad_topic_Fashion,ad_topic_Finance,ad_topic_Food,ad_topic_Health,ad_topic_Travel,ad_target_audience_Fitness Lovers,ad_target_audience_Professionals,ad_target_audience_Students,ad_target_audience_Tech Enthusiasts,ad_target_audience_Travel Lovers,ad_target_audience_Young Adults
0,0.1267,0.1767,49,0.65,4.44,0,18,8,0,0,0,0,0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0606,0.1845,13,1.17,1.1,2,2,4,1,0,0,0,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0.0388,0.0791999999999999,14,0.46,3.47,2,17,12,0,0,0,0,1,0.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3,0.071,0.2163,60,0.71,8.02,6,16,11,0,0,1,0,4,15.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
4,0.0966,0.2682,56,0.77,7.11,2,26,11,0,1,0,0,1,15.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0.0548,0.1566,5,0.75,3.47,0,6,1,1,0,0,0,1,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
6,0.037,0.1263,20,0.4,2.28,0,19,5,0,0,0,0,1,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
7,0.1019,0.1946999999999999,42,0.79,6.11,2,10,9,0,0,0,0,0,5.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,0.0202,0.0885,23,0.51,0.24,1,2,12,1,0,0,0,4,,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
9,0.0413,0.0858,10,0.5,2.6,6,2,11,1,0,1,0,1,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10,0.0302,0.0791999999999999,13,0.7,1.26,3,13,11,0,0,0,0,1,0.0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
11,0.0369,0.1635,64,0.43,12.65,4,16,5,0,0,0,0,4,15.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,0.0739,0.168,7,1.07,2.3,5,27,12,0,1,1,0,2,0.0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
13,0.0782,0.1845,48,0.64,4.11,3,27,2,0,1,0,0,2,15.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
14,0.0602,0.1845,32,0.35,7.04,6,9,11,0,0,1,0,2,5.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
15,0.0353,0.1268999999999999,15,0.59,3.68,2,10,12,0,0,0,0,3,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
16,0.0465,0.1202999999999999,22,1.22,0.33,2,8,10,0,0,0,0,2,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
